Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
MSAA,instance_004.txt,6,Time,211.3056697845459
MSAA,instance_004.txt,7,Time,219.07636857032776
MSAA,instance_004.txt,8,Time,225.73305249214172
MSAA,instance_004.txt,9,Time,210.23808431625366
MSAA,instance_004.txt,0,GD,3.031706269597294
MSAA,instance_004.txt,1,GD,3.57850002927482
MSAA,instance_004.txt,2,GD,4.776427598563801
MSAA,instance_004.txt,3,GD,3.227493384920461
MSAA,instance_004.txt,4,GD,3.210162481479565
MSAA,instance_004.txt,5,GD,5.957062776146915
MSAA,instance_004.txt,6,GD,4.180100270956664
MSAA,instance_004.txt,7,GD,4.516775620686644
MSAA,instance_004.txt,8,GD,4.029222271534241
MSAA,instance_004.txt,9,GD,4.753977078852093
MSAA,instance_004.txt,0,IGD,2.3896922305973063
MSAA,instance_004.txt,1,IGD,2.5546004164731864
MSAA,instance_004.txt,2,IGD,3.0103559938363804
MSAA,instance_004.txt,3,IGD,2.333031057185242
MSAA,instance_004.txt,4,IGD,2.4351815088707967
MSAA,instance_004.txt,5,IGD,3.262088441868764
MSAA,instance_004.txt,6,IGD,3.2165754109364153
MSAA,instance_004.txt,7,IGD,2.6827578281036644
MSAA,instance_004.txt,8,IGD,2.7758136827775495
MSAA,instance_004.txt,9,IGD,3.1089123843170263
MSAA,instance_004.txt,0,EPSILON,1.7872615348471672
MSAA,instance_004.txt,1,EPSILON,1.8472720826131275
MSAA,instance_004.txt,2,EPSILON,1.9778048038917595
MSAA,instance_004.txt,3,EPSILON,1.755309137362791
MSAA,instance_004.txt,4,EPSILON,1.7540868752919203
MSAA,instance_004.txt,5,EPSILON,2.1666666666666665
MSAA,instance_004.txt,6,EPSILON,2.6666666666666665
MSAA,instance_004.txt,7,EPSILON,1.8578880683463657
MSAA,instance_004.txt,8,EPSILON,1.7981206715681823
MSAA,instance_004.txt,9,EPSILON,1.9976646426903328
MSAA,instance_004.txt,0,HV,1789.696512845717
MSAA,instance_004.txt,1,HV,785.6697036915191
MSAA,instance_004.txt,2,HV,15.810874704491258
MSAA,instance_004.txt,3,HV,2048.3532723040066
MSAA,instance_004.txt,4,HV,1628.5173984250364
MSAA,instance_004.txt,5,HV,1770.7383738601811
MSAA,instance_004.txt,6,HV,1379.258186649301
MSAA,instance_004.txt,7,HV,852.803745465242
MSAA,instance_004.txt,8,HV,1401.252080990288
MSAA,instance_004.txt,9,HV,278.66643361050114
MSAA,instance_004.txt,0,NHV,0.8307785057148895
MSAA,instance_004.txt,1,NHV,0.9257124320693806
MSAA,instance_004.txt,2,NHV,0.9985050315378922
MSAA,instance_004.txt,3,NHV,0.8063216869032581
MSAA,instance_004.txt,4,NHV,0.8460185033312728
MSAA,instance_004.txt,5,NHV,0.8325710580191324
MSAA,instance_004.txt,6,NHV,0.8695867541370759
MSAA,instance_004.txt,7,NHV,0.9193646950174239
MSAA,instance_004.txt,8,NHV,0.8675071615140714
MSAA,instance_004.txt,9,NHV,0.9736512028915504
MSAA,instance_005.txt,0,Time,206.3952031135559
MSAA,instance_005.txt,1,Time,215.70730662345886
MSAA,instance_005.txt,2,Time,218.43243288993835
MSAA,instance_005.txt,3,Time,212.8723316192627
MSAA,instance_005.txt,4,Time,224.4437084197998
MSAA,instance_005.txt,5,Time,210.79734992980957
MSAA,instance_005.txt,6,Time,220.790114402771
MSAA,instance_005.txt,7,Time,215.2182240486145
MSAA,instance_005.txt,8,Time,222.47795033454895
MSAA,instance_005.txt,9,Time,217.28844809532166
MSAA,instance_005.txt,0,GD,8.587873449119718
MSAA,instance_005.txt,1,GD,5.875369401566929
MSAA,instance_005.txt,2,GD,7.297232345685143
MSAA,instance_005.txt,3,GD,7.304504872294253
MSAA,instance_005.txt,4,GD,6.410952789970737
MSAA,instance_005.txt,5,GD,8.89680100068085
MSAA,instance_005.txt,6,GD,7.899389667504416
MSAA,instance_005.txt,7,GD,6.668071897384189
MSAA,instance_005.txt,8,GD,7.797196407578785
MSAA,instance_005.txt,9,GD,6.725231959302356
MSAA,instance_005.txt,0,IGD,3.614780722746638
MSAA,instance_005.txt,1,IGD,3.0623717093004235
MSAA,instance_005.txt,2,IGD,4.032728251804283
MSAA,instance_005.txt,3,IGD,4.075862290132852
MSAA,instance_005.txt,4,IGD,3.3788695442592167
MSAA,instance_005.txt,5,IGD,3.7436065882809215
MSAA,instance_005.txt,6,IGD,3.5433438511177986
MSAA,instance_005.txt,7,IGD,4.317801743011139
MSAA,instance_005.txt,8,IGD,4.241015512394965
MSAA,instance_005.txt,9,IGD,4.132678191409162
MSAA,instance_005.txt,0,EPSILON,1.95114194854004
MSAA,instance_005.txt,1,EPSILON,1.8790832853985657
MSAA,instance_005.txt,2,EPSILON,1.95214544206773
MSAA,instance_005.txt,3,EPSILON,1.9834224377447185
MSAA,instance_005.txt,4,EPSILON,1.8900460930640917
MSAA,instance_005.txt,5,EPSILON,1.9233281684970984
MSAA,instance_005.txt,6,EPSILON,1.8484848484848484
MSAA,instance_005.txt,7,EPSILON,2.1766054109116775
MSAA,instance_005.txt,8,EPSILON,2.132764151843723
MSAA,instance_005.txt,9,EPSILON,1.9365620856333257
MSAA,instance_005.txt,0,HV,0.0
MSAA,instance_005.txt,1,HV,0.0
MSAA,instance_005.txt,2,HV,0.0
MSAA,instance_005.txt,3,HV,0.0
MSAA,instance_005.txt,4,HV,0.0
MSAA,instance_005.txt,5,HV,0.0
